Date,Sample,AZ addition time (min),Position,N1,N2,dNk,NEBD time,Mps1i addition time,Mps1i time - NEBD time,anaphase onset time,anaphase onset time - Mps1i addition time,anaphase onset time - NEBD time,
20230525,1,no Mps1i,0,46,46,0,-6,,6,13,13,19,
20230525,1,no Mps1i,1,46,46,0,-2,,,16,,18,
20230525,1,no Mps1i,2,46,46,0,4,,,27,,23,
20230525,1,no Mps1i,3,46,46,0,2,,,86,,84,
20230525,1,no Mps1i,4,46,46,0,5,,,20,,15,
20230525,1,no Mps1i,5,46,46,0,-2,,,13,,15,
20230525,1,no Mps1i,6,46,46,0,-4,,,77,,81,
20230525,2,no Mps1i,1,46,46,0,0,,,23,,23,
20230525,2,no Mps1i,2,46,46,0,2,,,26,,24,
20230525,2,no Mps1i,3,46,46,0,-2,,,14,,16,
20230525,3,Mps1i added,0,46,46,0,1,14,13,,,,
20230525,3,Mps1i added,3,53,39,14,12,14,2,,,,
20230525,3,Mps1i added,4,42,50,8,3,14,11,,,,
20230525,3,Mps1i added,5,46,46,0,8,14,6,,,,
20230525,3,Mps1i added,6,46,46,0,-1,14,15,,,,
20230525,3,Mps1i added,8,52,40,12,4,14,10,,,,
20230525,3,Mps1i added,9,47,45,2,-2,14,16,,,,
20230525,4,Mps1i added,1,46,46,0,-1,8,9,,,,
20230525,4,Mps1i added,2,48,44,4,0,8,8,,,,
20230525,4,Mps1i added,3,55,37,18,8,8,0,,,,
20230525,4,Mps1i added,4,46,46,0,-2,8,10,,,,
20230525,4,Mps1i added,5,46,46,0,-6,8,14,,,,
20230525,4,Mps1i added,6,45,47,2,-5,8,13,,,,
20230525,4,Mps1i added,7,47,45,2,3,8,5,,,,
20230525,4,Mps1i added,9,46,46,0,-5,8,13,,,,
20230525,4,Mps1i added,10,45,47,2,-6,8,14,,,,
20230525,4,Mps1i added,11,45,47,2,0,8,8,,,,
20230525,4,Mps1i added,12,45,47,2,0,8,8,,,,
20230525,4,Mps1i added,13,46,46,0,0,8,8,,,,
20230525,4,Mps1i added,14,46,46,0,-7,8,15,,,,
20230525,4,Mps1i added,15,42,50,8,2,8,6,,,,
20230525,5,Mps1i added,0,46,46,0,-1,11,12,,,,
20230525,5,Mps1i added,1,46,46,0,1,11,10,,,,
20230525,5,Mps1i added,4,46,46,0,9,11,2,,,,
20230525,5,Mps1i added,5,44,48,4,-1,11,12,,,,
20230525,5,Mps1i added,7,46,46,0,-7,11,18,,,,
20230525,5,Mps1i added,8,45,47,2,5,11,6,,,,
20230525,5,Mps1i added,9,46,46,0,-4,11,15,,,,
20230525,5,Mps1i added,10,46,46,0,2,11,9,,,,
20230525,5,Mps1i added,11,46,46,0,6,11,5,,,,
20230525,5,Mps1i added,12,46,46,0,1,11,10,,,,
20230525,5,Mps1i added,14,44,48,4,-5,11,16,,,,
20230525,5,Mps1i added,15,46,46,0,-2,11,13,,,,
20230525,6,Mps1i added,0,46,46,0,-3,9,12,,,,
20230525,6,Mps1i added,1,45,47,2,-1,9,10,,,,
20230525,6,Mps1i added,2,45,47,2,1,9,8,,,,
20230525,6,Mps1i added,3,46,46,0,-5,9,14,,,,
20230525,6,Mps1i added,4,46,46,0,1,9,8,,,,
20230525,6,Mps1i added,5,44,48,4,7,9,2,,,,
20230525,6,Mps1i added,6,46,46,0,1,9,8,,,,
20230525,6,Mps1i added,7,45,47,2,-5,9,14,,,,
20230525,6,Mps1i added,9,46,46,0,-2,9,11,,,,
20230525,6,Mps1i added,10,46,46,0,-1,9,10,,,,
20230525,6,Mps1i added,11,45,47,2,3,9,6,,,,
20230525,6,Mps1i added,12,46,46,0,2,9,7,,,,
20230525,6,Mps1i added,13,46,46,0,0,9,9,,,,
20230525,6,Mps1i added,15,30,62,32,4,9,5,,,,
20230525,6,Mps1i added,16,46,46,0,0,9,9,,,,
20230601,1,no Mps1i,3,46,46,0,1,,,23,,22,
20230601,1,no Mps1i,6,46,46,0,7,,,22,,15,
20230601,1,no Mps1i,10,46,46,0,6,,,34,,28,
20230601,1,no Mps1i,11,46,46,0,29,,,48,,19,
20230601,2,no Mps1i,0,46,46,0,1,,,20,,19,
20230601,2,no Mps1i,1,46,46,0,3,,,18,,15,
20230601,2,no Mps1i,2,46,46,0,-2,,,19,,21,
20230601,2,no Mps1i,4,46,46,0,5,,,22,,17,
20230601,2,no Mps1i,5,46,46,0,-1,,,17,,18,
20230601,2,no Mps1i,6,46,46,0,0,,,37,,37,
20230601,2,no Mps1i,7,46,46,0,8,,,27,,19,
20230601,2,no Mps1i,8,46,46,0,5,,,29,,24,
20230601,2,no Mps1i,9,46,46,0,0,,,16,,16,
20230601,2,no Mps1i,10,46,46,0,4,,,22,,18,
20230601,2,no Mps1i,11,46,46,0,3,,,18,,15,
20230601,2,no Mps1i,14,46,46,0,-3,,,18,,21,
20230601,2,no Mps1i,16,46,46,0,5,,,25,,20,
20230601,2,no Mps1i,17,46,46,0,0,,,18,,18,
20230601,2,no Mps1i,18,46,46,0,1,,,15,,14,
20230601,2,no Mps1i,19,46,46,0,-2,,,15,,17,
20230601,3,Mps1i added,0,46,46,0,-5,8,13,,,,
20230601,3,Mps1i added,1,39,53,14,2,8,6,,,,
20230601,3,Mps1i added,2,46,46,0,-3,8,11,,,,
20230601,3,Mps1i added,3,46,46,0,2,8,6,,,,
20230601,3,Mps1i added,4,46,46,0,-5,8,13,,,,
20230601,3,Mps1i added,8,46,46,0,-5,8,13,,,,
20230601,3,Mps1i added,9,47,45,2,-5,8,13,,,,
20230601,3,Mps1i added,11,31,61,30,4,8,4,,,,
20230601,3,Mps1i added,12,46,46,0,-3,8,11,,,,
20230601,3,Mps1i added,17,46,46,0,-6,8,14,,,,
20230601,3,Mps1i added,19,45,47,2,4,8,4,,,,
20230601,3,Mps1i added,20,46,46,0,1,8,7,,,,
20230601,4,Mps1i added,0,45,47,2,3,10,7,,,,
