Date,Sample,AZ addition time (min),Position,N1,N2,dNk,NEBD time,anaphase onset time,anaphase onset time - NEBD time
20231102,4,no Mps1i,0,50,42,8,can't tell,9,#VALUE!
20231102,4,no Mps1i,1,46,46,0,can't tell,7,#VALUE!
20231102,4,no Mps1i,2,45,47,2,can't tell,5,#VALUE!
20231102,4,no Mps1i,3,46,46,0,can't tell,12,#VALUE!
20231102,4,no Mps1i,4,47,45,2,can't tell,7,#VALUE!
20231102,4,no Mps1i,5,44,48,4,-1,28,29
20231102,4,no Mps1i,6,45,47,2,0,15,15
20231102,4,no Mps1i,7,46,46,0,5,18,13
20231102,4,no Mps1i,8,44,48,4,6,20,14
20231102,4,no Mps1i,9,48,44,4,0,8,8
20231102,5,no Mps1i,0,48,44,4,2,13,11
20231102,5,no Mps1i,2,46,46,0,can't tell,7,#VALUE!
20231102,5,no Mps1i,3,46,46,0,0,10,10
20231102,5,no Mps1i,4,47,45,2,-2,7,9
20231102,5,no Mps1i,5,can't analyze,,#VALUE!,0,9,9
20231102,5,no Mps1i,6,46,46,0,1,17,16
20231102,5,no Mps1i,7,44,48,4,9,20,11
20231102,5,no Mps1i,8,46,46,0,can't tell,8,#VALUE!
20231102,5,no Mps1i,9,43,49,6,can't tell,20,#VALUE!
20231102,5,no Mps1i,10,53,39,14,-2,15,17
20231102,5,no Mps1i,11,45,47,2,4,13,9
20231102,5,no Mps1i,12,46,46,0,3,13,10
20231102,5,no Mps1i,13,46,46,0,-2,10,12
20231102,5,no Mps1i,14,50,42,8,4,14,10
20231102,5,no Mps1i,15,46,46,0,9,26,17
20231102,5,no Mps1i,16,47,45,2,2,12,10
20231102,5,no Mps1i,17,46,46,0,2,12,10
20231102,5,no Mps1i,18,46,46,0,10,24,14
20231102,5,no Mps1i,19,45,47,2,5,14,9
20231102,6,no Mps1i,0,53,39,14,-2,16,18
20231102,6,no Mps1i,1,48,44,4,8,20,12
20231102,6,no Mps1i,2,47,45,2,1,16,15
20231102,6,no Mps1i,3,46,46,0,3,11,8
20231102,6,no Mps1i,4,47,45,2,can't tell,11,#VALUE!
20231102,6,no Mps1i,5,57,35,22,2,13,11
20231102,6,no Mps1i,6,46,46,0,11,21,10
20231102,6,no Mps1i,7,can't analyze,,#VALUE!,1,9,8
20231102,6,no Mps1i,8,can't analyze,,#VALUE!,7,19,12
20231102,6,no Mps1i,9,48,44,4,2,13,11
20231102,6,no Mps1i,10,45,47,2,-1,8,9
20231102,6,no Mps1i,11,44,48,4,0,9,9
20231102,6,no Mps1i,12,47,45,2,17,27,10
20231102,6,no Mps1i,13,46,46,0,6,15,9
20231102,6,no Mps1i,14,46,46,0,1,12,11
20231102,6,no Mps1i,15,48,44,4,7,16,9
20231106,2,no Mps1i,0,46,46,0,-1,9,10
20231106,2,no Mps1i,1,42,50,8,can't tell,6,#VALUE!
20231106,2,no Mps1i,7,46,46,0,4,18,14
20231106,2,no Mps1i,8,49,43,6,0,9,9
20231109,1,no Mps1i,2,49,43,6,can't tell,18,#VALUE!
20231109,1,no Mps1i,3,46,46,0,-2,16,18
20231109,1,no Mps1i,5,46,46,0,2,13,11
20231109,1,no Mps1i,6,46,46,0,11,23,12
20231109,1,no Mps1i,11,46,46,0,0,11,11
20231109,1,no Mps1i,12,46,46,0,3,17,14
20231109,1,no Mps1i,12-bot,47,45,2,31,42,11
20231115,4,no Mps1i,1,46,46,0,3,11,8
20231115,4,no Mps1i,2,45,47,2,16,28,12
20231115,4,no Mps1i,3,45,47,2,can't tell,9,#VALUE!
20231115,4,no Mps1i,4,47,45,2,can't tell,9,#VALUE!
20231115,4,no Mps1i,5,45,47,2,can't tell,4,#VALUE!
20231115,4,no Mps1i,7,46,46,0,4,18,14
20231115,4,no Mps1i,8,45,47,2,6,19,13
20231115,4,no Mps1i,9,46,46,0,5,14,9
20231115,4,no Mps1i,10,48,44,4,2,10,8
20231115,4,no Mps1i,11,47,45,2,1,9,8
20231115,4,no Mps1i,12,39,53,14,can't tell,6,#VALUE!
20231115,4,no Mps1i,13,44,48,4,23,33,10
20231115,5,no Mps1i,0,46,46,0,can't tell,5,#VALUE!
20231115,5,no Mps1i,1,43,49,6,can't tell,6,#VALUE!
20231115,5,no Mps1i,2,46,46,0,6,14,8
20231115,5,no Mps1i,4,45,47,2,-1,8,9
20231115,5,no Mps1i,5,46,46,0,can't tell,,#VALUE!
20231115,5,no Mps1i,6,43,49,6,1,10,9
20231115,5,no Mps1i,8,46,46,0,,5,5
20231115,5,no Mps1i,9,47,45,2,6,14,8
20231115,5,no Mps1i,10,48,44,4,1,11,10
20231115,5,no Mps1i,13,46,46,0,7,17,10
20231115,5,no Mps1i,15,46,46,0,can't tell,,#VALUE!
20231115,6,no Mps1i,0,51,41,10,0,8,8
20231115,6,no Mps1i,1,46,46,0,1,8,7
20231115,6,no Mps1i,3,46,46,0,6,17,11
20231115,6,no Mps1i,7,46,46,0,-2,7,9
20231115,6,no Mps1i,8,46,46,0,2,13,11
20231115,6,no Mps1i,9,46,46,0,45,53,8
20231115,6,no Mps1i,10,46,46,0,9,18,9
20231115,6,no Mps1i,11,46,46,0,3,13,10
20231115,6,no Mps1i,12,48,44,4,-2,6,8
