Date,Sample,AZ addition time (min),Position,N1,N2,dNk,NEBD time,Mps1i addition time,Mps1i time - NEBD time,anaphase onset time,anaphase onset time - Mps1i addition time,anaphase onset time - NEBD time
20230403,4,Mps1i added,0,46,46,0,-3,6,9,,,
20230403,4,Mps1i added,1,46,46,0,-5,6,11,,,
20230403,4,Mps1i added,2,46,46,0,-6,6,12,,,
20230403,4,Mps1i added,3,49,43,6,6,6,0,,,
20230403,4,Mps1i added,4,46,46,0,-5,6,11,,,
20230403,4,Mps1i added,5,46,46,0,-4,6,10,,,
20230408,2,Mps1i added,2,46,46,0,-5,4,9,,,
20230408,2,Mps1i added,5,50,42,8,2,4,2,,,
20230408,2,Mps1i added,6,46,46,0,-6,4,10,,,
20230408,3,Mps1i added,9,45,47,2,5,14,9,,,
20230408,3,Mps1i added,10,38,54,16,15,14,-1,,,
20230408,4,Mps1i added,0,46,46,0,-1,8,9,,,
20230408,4,Mps1i added,1,42,50,8,4,8,4,,,
20230408,4,Mps1i added,2,44,48,4,4,8,4,,,
20230408,4,Mps1i added,4,45,47,2,-6,8,14,,,
20230408,4,Mps1i added,8,46,46,0,-6,8,14,,,
20230408,4,Mps1i added,9,45,47,2,-5,8,13,,,
20230408,5,Mps1i added,0,45,47,2,3,8,5,,,
20230408,5,Mps1i added,2,47,45,2,2,8,6,,,
20230408,5,Mps1i added,4,46,46,0,-2,8,10,,,
20230408,5,Mps1i added,6,46,46,0,-8,8,16,,,
20230408,5,Mps1i added,8,46,46,0,-5,8,13,,,
20230408,5,Mps1i added,9,46,46,0,-5,8,13,,,
20230408,5,Mps1i added,10,46,46,0,4,8,4,,,
20230408,5,Mps1i added,11,46,46,0,-4,8,12,,,
20230408,5,Mps1i added,12,46,46,0,-6,8,14,,,
20230408,5,Mps1i added,13,46,46,0,1,8,7,,,
20230408,5,Mps1i added,14,46,46,0,2,8,6,,,
20230408,5,Mps1i added,15,46,46,0,-4,8,12,,,
20230408,6,Mps1i added,0,47,45,2,0,4,4,,,
20230408,6,Mps1i added,2,43,49,6,-2,4,6,,,
20230408,6,Mps1i added,3,46,46,0,-6,4,10,,,
20230408,6,Mps1i added,4,46,46,0,-3,4,7,,,
20230408,6,Mps1i added,6,48,44,4,-2,4,6,,,
20230408,6,Mps1i added,8,46,46,0,-4,4,8,,,
20230408,6,Mps1i added,9,48,44,4,-2,4,6,,,
20230408,6,Mps1i added,10,41,51,10,0,4,4,,,
20230408,6,Mps1i added,11,44,48,4,1,4,3,,,
20230408,6,Mps1i added,13,40,52,12,1,4,3,,,
20230408,6,Mps1i added,14,49,43,6,-1,4,5,,,
20230411,1,Mps1i added,6,44,48,4,-1,6,7,,,
20230411,1,Mps1i added,8,46,46,0,-4,6,10,,,
20230411,1,Mps1i added,10,46,46,0,-1,6,7,,,
20230411,1,Mps1i added,11,46,46,0,-6,6,12,,,
20230411,1,Mps1i added,12,46,46,0,-6,6,12,,,
20230411,1,Mps1i added,13,44,48,4,1,6,5,,,
20230411,1,Mps1i added,14,46,46,0,-6,6,12,,,
20230411,1,Mps1i added,16,46,46,0,0,6,6,,,
20230411,1,Mps1i added,17,46,46,0,-6,6,12,,,
20230411,2,Mps1i added,0,46,46,0,-6,14,20,,,
20230411,2,Mps1i added,2,46,46,0,0,14,14,,,
20230411,2,Mps1i added,3,46,46,0,3,14,11,,,
20230411,2,Mps1i added,5,46,46,0,5,14,9,,,
20230411,2,Mps1i added,7,46,46,0,-5,14,19,,,
20230411,2,Mps1i added,10,46,46,0,-4,14,18,,,
20230411,3,Mps1i added,0,46,46,0,-6,5,11,,,
20230411,3,Mps1i added,1,46,46,0,-6,5,11,,,
20230411,3,Mps1i added,2,41,51,10,5,5,0,,,
20230411,3,Mps1i added,3,49,43,6,5,5,0,,,
20230411,3,Mps1i added,4,46,46,0,-6,5,11,,,
20230411,3,Mps1i added,5,43,49,6,4,5,1,,,
20230411,3,Mps1i added,7,45,47,2,-6,5,11,,,
20230411,3,Mps1i added,9,46,46,0,-3,5,8,,,
20230411,3,Mps1i added,10,46,46,0,-6,5,11,,,
20230411,3,Mps1i added,11,46,46,0,-6,5,11,,,
20230411,3,Mps1i added,12,45,47,2,-5,5,10,,,
20230411,3,Mps1i added,13,47,45,2,-3,5,8,,,
20230411,3,Mps1i added,14,46,46,0,-2,5,7,,,
20230411,3,Mps1i added,15,46,46,0,-5,5,10,,,
20230411,3,Mps1i added,17,47,45,2,-5,5,10,,,
20230411,3,Mps1i added,18,46,46,0,-5,5,10,,,
20230411,4,Mps1i added,0,46,46,0,-5,9,14,,,
20230411,4,Mps1i added,1,45,47,2,-2,9,11,,,
20230411,4,Mps1i added,3,46,46,0,-7,9,16,,,
20230411,4,Mps1i added,5,45,47,2,0,9,9,,,
20230411,4,Mps1i added,6,44,48,4,6,9,3,,,
20230411,4,Mps1i added,7,45,47,2,-4,9,13,,,
20230411,4,Mps1i added,8,45,47,2,4,9,5,,,
20230411,4,Mps1i added,10,48,44,4,1,9,8,,,
20230411,4,Mps1i added,11,45,47,2,-1,9,10,,,
20230411,4,Mps1i added,13,46,46,0,-4,9,13,,,
20230411,4,Mps1i added,14,46,46,0,5,9,4,,,
20230413,1,Mps1i added,0,45,47,2,-1,3,4,,,
20230413,1,Mps1i added,4,48,44,4,0,3,3,,,
20230413,1,Mps1i added,6,46,46,0,-6,3,9,,,
20230413,1,Mps1i added,7,46,46,0,-7,3,10,,,
20230413,2,Mps1i added,0,46,46,0,-4,4,8,,,
20230413,2,Mps1i added,1,46,46,0,-7,4,11,,,
20230413,2,Mps1i added,2,45,47,2,1,4,3,,,
20230413,2,Mps1i added,3,48,44,4,1,4,3,,,
20230413,2,Mps1i added,4,46,46,0,-6,4,10,,,
20230413,2,Mps1i added,5,62,30,32,2,4,2,,,
20230413,2,Mps1i added,6,46,46,0,-5,4,9,,,
20230413,2,Mps1i added,7,46,46,0,-6,4,10,,,
20230413,2,Mps1i added,8,46,46,0,-6,4,10,,,
20230413,2,Mps1i added,9,48,44,4,3,4,1,,,
20230413,3,Mps1i added,0,38,54,16,3,3,0,,,
20230413,3,Mps1i added,1,46,46,0,-2,3,5,,,
20230413,3,Mps1i added,2,46,46,0,-5,3,8,,,
20230413,3,Mps1i added,3,46,46,0,-5,3,8,,,
20230413,3,Mps1i added,4,41,51,10,7,3,-4,,,
20230413,3,Mps1i added,5,47,45,2,1,3,2,,,
20230413,3,Mps1i added,6,47,45,2,-4,3,7,,,
20230413,3,Mps1i added,7,33,59,26,0,3,3,,,
20230413,3,Mps1i added,8,46,46,0,-1,3,4,,,
20230413,3,Mps1i added,9,37,55,18,3,3,0,,,
20230413,3,Mps1i added,12,46,46,0,1,3,2,,,
20230413,3,Mps1i added,13,46,46,0,0,3,3,,,
20230413,4,Mps1i added,0,55,37,18,3,3,0,,,
20230413,4,Mps1i added,2,46,46,0,-6,3,9,,,
20230413,4,Mps1i added,3,46,46,0,-1,3,4,,,
20230413,4,Mps1i added,4,47,45,2,-3,3,6,,,
20230413,4,Mps1i added,5,49,43,6,2,3,1,,,
20230413,4,Mps1i added,6,45,47,2,-1,3,4,,,
20230413,4,Mps1i added,9,44,48,4,1,3,2,,,
20230413,5,Mps1i added,1,44,48,4,2,3,1,,,
20230413,5,Mps1i added,2,44,48,4,1,3,2,,,
20230413,5,Mps1i added,3,46,46,0,-6,3,9,,,
20230413,5,Mps1i added,4,46,46,0,-6,3,9,,,
20230413,5,Mps1i added,5,44,48,4,2,3,1,,,
20230413,5,Mps1i added,7,44,48,4,9,3,-6,,,
20230413,5,Mps1i added,8,45,47,2,0,3,3,,,
20230413,5,Mps1i added,9,46,46,0,3,3,0,,,
20230413,5,Mps1i added,10,46,46,0,-6,3,9,,,
20230413,5,Mps1i added,11,46,46,0,-6,3,9,,,
20230413,6,Mps1i added,0,47,45,2,-2,5,7,,,
20230413,6,Mps1i added,2,35,57,22,0,5,5,,,
20230413,6,Mps1i added,3,45,47,2,-4,5,9,,,
20230413,6,Mps1i added,4,43,49,6,6,5,-1,,,
20230413,6,Mps1i added,5,45,47,2,0,5,5,,,
20230413,6,Mps1i added,6,50,42,8,2,5,3,,,
20230413,6,Mps1i added,7,46,46,0,-3,5,8,,,
20230413,6,Mps1i added,8,50,42,8,11,5,-6,,,
20230413,6,Mps1i added,9,47,45,2,0,5,5,,,
20230413,6,Mps1i added,10,45,47,2,-3,5,8,,,
20230413,6,Mps1i added,12,42,50,8,3,5,2,,,
20230413,6,Mps1i added,13,40,52,12,4,5,1,,,
20230413,6,Mps1i added,14,44,48,4,4,5,1,,,
20230413,7,Mps1i added,0,48,44,4,3,4,1,,,
20230413,7,Mps1i added,1,47,45,2,-3,4,7,,,
20230413,7,Mps1i added,2,46,46,0,-5,4,9,,,
